sample_id,actual_price,predicted_price,model_name,target_used,residual,absolute_error,squared_error,percentage_error,absolute_percentage_error,prediction_ratio,price_segment
696,1.0,14.346957231955043,CatBoost,log_target_price,-13.346957231955043,13.346957231955043,178.14126735163703,-13.346957218608084,13.346957218608084,14.346957217608084,Low
2299,2.7,14.150570803789051,CatBoost,log_target_price,-11.450570803789052,11.450570803789052,131.11557173258626,-4.240952147980777,4.240952147980777,5.240952147610407,Low
3647,3.5,17.1843104791825,CatBoost,log_target_price,-13.6843104791825,13.6843104791825,187.260353290664,-3.909802992935056,3.909802992935056,4.909802992649342,Low
373,1.3,5.870399848491413,CatBoost,log_target_price,-4.570399848491413,4.570399848491413,20.88855477509033,-3.515692188442862,3.515692188442862,4.515692187673631,Low
2155,2.889,10.971570875968087,CatBoost,log_target_price,-8.082570875968088,8.082570875968088,65.32795196504755,-2.797705390505498,2.797705390505498,3.797705390159357,Low
2794,1.35,4.677972800939047,CatBoost,log_target_price,-3.327972800939047,3.327972800939047,11.075402963790086,-2.465165035906579,2.465165035906579,3.465165035165838,Low
3169,2.2,7.378382325373746,CatBoost,log_target_price,-5.178382325373746,5.178382325373746,26.815643507743204,-2.353810146827243,2.353810146827243,3.3538101463726977,Low
5823,7.29,24.18287951089429,CatBoost,log_target_price,-16.89287951089429,16.89287951089429,285.3693781695921,-2.3172674223013745,2.3172674223013745,3.3172674221642,Mid
4557,3.2,10.612403389250206,CatBoost,log_target_price,-7.412403389250206,7.412403389250206,54.94372400496793,-2.3163760584168216,2.3163760584168216,3.3163760581043213,Low
1979,1.1,3.520157720337246,CatBoost,log_target_price,-2.420157720337246,2.420157720337246,5.857163391307975,-2.200143380124638,2.200143380124638,3.200143379215548,Low
157,2.05,6.430081098509628,CatBoost,log_target_price,-4.380081098509629,4.380081098509629,19.18511042952132,-2.136624925060002,2.136624925060002,3.136624924572197,Low
6957,12.89,40.05468526859173,CatBoost,log_target_price,-27.16468526859173,27.16468526859173,737.9201257416447,-2.107423216949908,2.107423216949908,3.107423216872328,High
4857,2.1,6.229828988402535,CatBoost,log_target_price,-4.129828988402535,4.129828988402535,17.055487473449904,-1.9665852316361665,1.9665852316361665,2.966585231159976,Low
2650,1.3,3.854266244445237,CatBoost,log_target_price,-2.5542662444452366,2.5542662444452366,6.524276047512373,-1.9648201865233967,1.9648201865233967,2.9648201857541663,Low
3817,5.2,15.300786989536109,CatBoost,log_target_price,-10.100786989536108,10.100786989536108,102.0258978079819,-1.9424590360757013,1.9424590360757013,2.942459035883394,Low
2882,6.2,16.350953072676464,CatBoost,log_target_price,-10.150953072676463,10.150953072676463,103.04184828367976,-1.6372504953289055,1.6372504953289055,2.6372504951676152,Mid
426,1.39,3.65123807517652,CatBoost,log_target_price,-2.26123807517652,2.26123807517652,5.113197632628012,-1.626789980971029,1.626789980971029,2.6267899802516044,Low
2354,1.9,4.484665365337854,CatBoost,log_target_price,-2.584665365337854,2.584665365337854,6.680495050777062,-1.3603501915671072,1.3603501915671072,2.360350191040792,Low
221,1.2,2.817106816020713,CatBoost,log_target_price,-1.6171068160207132,1.6171068160207132,2.6150344544206487,-1.3475890122276033,1.3475890122276033,2.34758901139427,Low
5433,11.9,27.645592797700512,CatBoost,log_target_price,-15.745592797700512,15.745592797700512,247.92369255099825,-1.323159058519105,1.323159058519105,2.3231590584350714,High
2753,1.6,3.6785159015245217,CatBoost,log_target_price,-2.0785159015245216,2.0785159015245216,4.320228352890295,-1.2990724376409055,1.2990724376409055,2.299072437015905,Low
5723,5.5,12.390851091144116,CatBoost,log_target_price,-6.890851091144116,6.890851091144116,47.483828760322055,-1.2528820163438608,1.2528820163438608,2.2528820161620424,Low
1726,2.5,5.593312419919603,CatBoost,log_target_price,-3.093312419919603,3.093312419919603,9.568581727228873,-1.2373249674729112,1.2373249674729112,2.237324967072911,Low
5617,5.5,12.27427574907287,CatBoost,log_target_price,-6.774275749072871,6.774275749072871,45.8908119244768,-1.231686499607488,1.231686499607488,2.23168649942567,Low
1406,1.0,2.225213993488637,CatBoost,log_target_price,-1.2252139934886368,1.2252139934886368,1.5011493298403733,-1.2252139922634226,1.2252139922634226,2.2252139912634226,Low
5157,1.8,3.986529449057345,CatBoost,log_target_price,-2.1865294490573453,2.1865294490573453,4.780911031595018,-1.2147385821347814,1.2147385821347814,2.2147385815792258,Low
5123,3.9,8.561567806625465,CatBoost,log_target_price,-4.661567806625465,4.661567806625465,21.730214415766948,-1.1952737962641515,1.1952737962641515,2.1952737960077413,Low
4743,2.499,5.479003676435807,CatBoost,log_target_price,-2.9800036764358078,2.9800036764358078,8.880421911570927,-1.1924784614819242,1.1924784614819242,2.1924784610817643,Low
4796,3.0,6.373309625956628,CatBoost,log_target_price,-3.373309625956628,3.373309625956628,11.379217832571644,-1.1244365416107305,1.1244365416107305,2.124436541277397,Low
3933,2.2,4.605773765355662,CatBoost,log_target_price,-2.405773765355661,2.405773765355661,5.787747410073557,-1.093533529210058,1.093533529210058,2.093533528755513,Low
